Method,n_star_ratio,MAE
MIDAST[KS],0.3,0.0
MIDAST[MMD],0.3,100.0
e-Divisive,0.3,7.0
KCPA,0.3,0.0
Neural-ECF,0.3,3.0
MIDAST[KS],0.3,0.0
MIDAST[MMD],0.3,100.0
e-Divisive,0.3,1.0
KCPA,0.3,1.0
Neural-ECF,0.3,5.0
MIDAST[KS],0.3,0.0
MIDAST[MMD],0.3,100.0
e-Divisive,0.3,6.0
KCPA,0.3,6.0
Neural-ECF,0.3,9.0
MIDAST[KS],0.3,0.0
MIDAST[MMD],0.3,20.0
e-Divisive,0.3,1.0
KCPA,0.3,0.0
Neural-ECF,0.3,151.0
MIDAST[KS],0.3,0.0
MIDAST[MMD],0.3,100.0
e-Divisive,0.3,18.0
KCPA,0.3,2.0
Neural-ECF,0.3,11.0
MIDAST[KS],0.3,10.0
MIDAST[MMD],0.3,100.0
e-Divisive,0.3,5.0
KCPA,0.3,3.0
Neural-ECF,0.3,12.0
MIDAST[KS],0.3,0.0
MIDAST[MMD],0.3,100.0
e-Divisive,0.3,1.0
KCPA,0.3,1.0
Neural-ECF,0.3,9.0
MIDAST[KS],0.3,10.0
MIDAST[MMD],0.3,100.0
e-Divisive,0.3,15.0
KCPA,0.3,6.0
Neural-ECF,0.3,27.0
MIDAST[KS],0.3,10.0
MIDAST[MMD],0.3,100.0
e-Divisive,0.3,0.0
KCPA,0.3,7.0
Neural-ECF,0.3,
MIDAST[KS],0.3,0.0
MIDAST[MMD],0.3,80.0
e-Divisive,0.3,2.0
KCPA,0.3,1.0
Neural-ECF,0.3,356.0
MIDAST[KS],0.3,10.0
MIDAST[MMD],0.3,90.0
e-Divisive,0.3,4.0
KCPA,0.3,1.0
Neural-ECF,0.3,
MIDAST[KS],0.3,120.0
MIDAST[MMD],0.3,80.0
e-Divisive,0.3,0.0
KCPA,0.3,2.0
Neural-ECF,0.3,9.0
MIDAST[KS],0.3,0.0
MIDAST[MMD],0.3,100.0
e-Divisive,0.3,0.0
KCPA,0.3,0.0
Neural-ECF,0.3,45.0
MIDAST[KS],0.3,20.0
MIDAST[MMD],0.3,90.0
e-Divisive,0.3,1.0
KCPA,0.3,1.0
Neural-ECF,0.3,336.0
MIDAST[KS],0.3,30.0
MIDAST[MMD],0.3,90.0
e-Divisive,0.3,25.0
KCPA,0.3,12.0
Neural-ECF,0.3,7.0
MIDAST[KS],0.3,40.0
MIDAST[MMD],0.3,100.0
e-Divisive,0.3,1.0
KCPA,0.3,1.0
Neural-ECF,0.3,27.0
MIDAST[KS],0.3,10.0
MIDAST[MMD],0.3,10.0
e-Divisive,0.3,2.0
KCPA,0.3,2.0
Neural-ECF,0.3,
MIDAST[KS],0.3,0.0
MIDAST[MMD],0.3,100.0
e-Divisive,0.3,2.0
KCPA,0.3,2.0
Neural-ECF,0.3,14.0
MIDAST[KS],0.3,0.0
MIDAST[MMD],0.3,100.0
e-Divisive,0.3,1.0
KCPA,0.3,1.0
Neural-ECF,0.3,145.0
MIDAST[KS],0.3,80.0
MIDAST[MMD],0.3,100.0
e-Divisive,0.3,8.0
KCPA,0.3,1.0
Neural-ECF,0.3,2.0
MIDAST[KS],0.3,30.0
MIDAST[MMD],0.3,100.0
e-Divisive,0.3,0.0
KCPA,0.3,0.0
Neural-ECF,0.3,23.0
MIDAST[KS],0.3,10.0
MIDAST[MMD],0.3,100.0
