Method,rho2,alpha2,MAE,time_s
MIDAST[KS],0.9,1.5,,5.088856220245361
Neural-ECF[argmax],0.9,1.5,5.0,1.617041826248169
Neural-ECF[peaks],0.9,1.5,5.0,1.617041826248169
MIDAST[KS],0.9,1.5,,5.342038869857788
Neural-ECF[argmax],0.9,1.5,0.0,1.6418991088867188
Neural-ECF[peaks],0.9,1.5,0.0,1.6418991088867188
MIDAST[KS],0.9,1.5,,5.087589979171753
Neural-ECF[argmax],0.9,1.5,5.0,1.597837209701538
Neural-ECF[peaks],0.9,1.5,5.0,1.597837209701538
MIDAST[KS],0.9,1.5,,5.13765811920166
Neural-ECF[argmax],0.9,1.5,15.0,1.6158509254455566
Neural-ECF[peaks],0.9,1.5,15.0,1.6158509254455566
MIDAST[KS],0.9,1.5,,5.092272758483887
Neural-ECF[argmax],0.9,1.5,15.0,1.5976719856262207
Neural-ECF[peaks],0.9,1.5,15.0,1.5976719856262207
MIDAST[KS],0.9,1.5,,5.166145086288452
Neural-ECF[argmax],0.9,1.5,55.0,1.6216590404510498
Neural-ECF[peaks],0.9,1.5,55.0,1.6216590404510498
MIDAST[KS],0.9,1.5,,5.249350070953369
Neural-ECF[argmax],0.9,1.5,5.0,1.468900203704834
Neural-ECF[peaks],0.9,1.5,5.0,1.468900203704834
MIDAST[KS],0.9,1.5,,5.254605054855347
Neural-ECF[argmax],0.9,1.5,0.0,1.5712878704071045
Neural-ECF[peaks],0.9,1.5,0.0,1.5712878704071045
MIDAST[KS],0.9,1.5,,5.218895196914673
Neural-ECF[argmax],0.9,1.5,5.0,1.635563850402832
